revenue	gender	retargeting	rank
4072	0	3	1
3921	1	3	2
3843	1	3	3
3739	1	3	4
3727	1	3	5
3611	1	3	6
3607	1	3	7
3571	1	3	8
3500	0	3	9
3481	1	3	10
3475	0	3	11
3446	1	3	12
3426	1	3	13
3394	1	3	14
3372	1	3	15
3342	1	3	16
3207	1	3	17
3178	1	3	18
3142	1	3	19
3139	1	3	20
3118	0	3	21
3113	1	3	22
3111	0	3	23
3073	1	3	24
3065	1	3	25
3063	0	3	26
3002	1	3	27
2998	1	3	28
2993	1	3	29
2992	1	3	30
2990	0	2	31
2977	1	2	32
2966	1	3	33
2953	1	3	34
2939	1	2	35
2929	1	3	36
2897	1	3	37
2890	1	2	38
2890	1	3	39
2889	0	2	40
2888	0	3	41
2884	1	3	42
2879	1	3	43
2875	1	3	44
2845	1	3	45
2828	0	3	46
2810	0	3	47
2799	1	1	48
2792	1	3	49
2787	1	2	50
2786	1	3	51
2767	0	3	52
2749	1	3	53
2739	0	3	54
2716	1	3	55
2714	1	2	56
2711	0	2	57
2693	0	1	58
2693	0	3	59
2689	1	3	60
2663	1	3	61
2654	1	3	62
2647	1	3	63
2615	0	2	64
2600	0	3	65
2596	1	3	66
2582	1	2	67
2570	1	3	68
2563	1	3	69
2559	1	1	70
2555	0	2	71
2553	1	3	72
2552	1	3	73
2546	1	3	74
2533	1	2	75
2502	0	1	76
2488	1	1	77
2475	1	1	78
2471	0	3	79
2470	1	3	80
2466	0	1	81
2461	0	3	82
2451	1	3	83
2444	0	2	84
2434	0	1	85
2433	0	3	86
2418	0	2	87
2405	1	3	88
2400	0	2	89
2392	0	3	90
2391	1	2	91
2385	1	2	92
2376	0	3	93
2369	0	3	94
2368	0	3	95
2363	0	2	96
2360	1	3	97
2357	0	2	98
2346	1	3	99
2338	1	1	100
2323	1	3	101
2319	1	2	102
2292	0	1	103
2289	1	3	104
2269	1	3	105
2268	0	3	106
2257	0	2	107
2242	1	1	108
2239	0	1	109
2234	1	3	110
2232	1	3	111
2229	0	3	112
2222	0	2	113
2213	1	1	114
2196	1	2	115
2191	0	3	116
2183	0	3	117
2178	1	3	118
2163	0	2	119
2157	0	3	120
2148	1	2	121
2108	0	2	122
2100	1	2	123
2083	1	3	124
2067	0	3	125
2065	0	3	126
2063	1	2	127
2060	0	1	128
2058	0	3	129
2047	1	3	130
2043	1	3	131
2037	0	3	132
2036	0	2	133
2033	0	3	134
2020	0	3	135
2020	1	2	136
2018	1	3	137
2017	0	2	138
2005	0	3	139
2003	1	3	140
1999	1	3	141
1974	1	2	142
1969	1	3	143
1963	0	3	144
1961	1	3	145
1960	1	2	146
1953	1	1	147
1948	1	2	148
1936	0	2	149
1918	0	1	150
1910	1	3	151
1909	0	3	152
1909	1	3	153
1893	0	2	154
1891	0	2	155
1860	1	2	156
1860	1	2	157
1859	1	3	158
1850	1	2	159
1835	0	2	160
1831	0	3	161
1830	0	3	162
1830	1	2	163
1824	0	2	164
1819	0	3	165
1819	1	2	166
1808	0	3	167
1795	0	3	168
1782	0	2	169
1782	0	2	170
1780	0	2	171
1756	0	3	172
1754	1	3	173
1737	1	1	174
1736	0	3	175
1719	1	2	176
1705	0	2	177
1698	1	3	178
1691	1	1	179
1688	1	3	180
1670	1	2	181
1668	0	2	182
1667	0	2	183
1662	1	1	184
1648	0	1	185
1638	1	3	186
1632	0	2	187
1626	0	3	188
1623	0	3	189
1614	1	3	190
1608	0	2	191
1608	1	2	192
1605	1	2	193
1584	0	1	194
1580	0	3	195
1579	0	1	196
1577	0	1	197
1566	0	1	198
1565	1	1	199
1550	1	1	200
1526	0	3	201
1516	1	1	202
1515	0	1	203
1514	0	1	204
1509	0	3	205
1503	1	3	206
1498	1	1	207
1497	1	1	208
1496	1	3	209
1493	0	1	210
1492	0	2	211
1470	1	1	212
1469	0	2	213
1458	0	2	214
1444	1	3	215
1441	0	3	216
1404	1	2	217
1401	0	2	218
1400	1	1	219
1369	1	3	220
1363	1	1	221
1354	1	2	222
1335	1	1	223
1329	0	3	224
1323	0	2	225
1316	1	3	226
1306	0	3	227
1289	1	3	228
1286	1	1	229
1276	0	3	230
1270	1	2	231
1266	0	2	232
1264	1	1	233
1238	1	1	234
1230	0	1	235
1223	0	3	236
1197	0	3	237
1195	1	2	238
1186	1	1	239
1185	0	2	240
1176	0	2	241
1173	1	2	242
1171	0	3	243
1166	1	1	244
1164	1	1	245
1148	0	2	246
1125	0	3	247
1124	0	1	248
1120	0	3	249
1116	0	1	250
1115	1	2	251
1114	1	2	252
1110	0	3	253
1105	1	3	254
1101	0	1	255
1089	1	2	256
1069	1	3	257
1068	0	3	258
1066	0	1	259
1062	1	2	260
1048	0	2	261
1039	0	3	262
1002	0	2	263
986	0	3	264
985	1	3	265
974	0	3	266
974	1	2	267
970	0	2	268
931	0	1	269
929	0	2	270
897	0	3	271
894	1	1	272
876	0	3	273
873	0	2	274
847	0	2	275
808	1	3	276
787	1	1	277
781	0	1	278
777	1	1	279
766	1	2	280
763	0	1	281
755	1	2	282
749	0	1	283
707	1	2	284
704	1	2	285
698	0	3	286
675	1	1	287
628	0	2	288
596	0	3	289
591	0	2	290
579	0	1	291
565	1	2	292
560	0	1	293
554	0	2	294
543	1	2	295
527	0	1	296
525	0	3	297
472	1	1	298
468	1	1	299
443	1	2	300
429	1	1	301
389	0	2	302
340	1	1	303
295	1	1	304
293	0	2	305
245	0	1	306
226	0	2	307
158	0	1	308
119	0	1	309
