revenue	gender	retargeting	rank
4454	1	3	1
4434	1	3	2
4200	1	3	3
3917	1	3	4
3859	1	3	5
3735	1	3	6
3731	1	3	7
3704	1	2	8
3661	1	3	9
3649	1	3	10
3649	1	3	11
3647	1	3	12
3625	1	3	13
3529	1	3	14
3517	1	3	15
3466	0	3	16
3427	0	2	17
3390	1	3	18
3320	1	3	19
3230	1	3	20
3200	0	3	21
3195	1	3	22
3183	1	2	23
3167	1	3	24
3153	0	2	25
3108	1	3	26
3097	1	3	27
3096	0	3	28
3041	1	3	29
3020	1	3	30
3013	1	3	31
3011	1	3	32
2998	1	3	33
2942	1	3	34
2929	1	3	35
2911	1	3	36
2906	1	3	37
2906	1	3	38
2903	0	3	39
2902	1	3	40
2892	1	3	41
2880	0	3	42
2877	0	2	43
2866	0	1	44
2862	1	2	45
2854	1	3	46
2842	1	2	47
2792	1	1	48
2788	1	3	49
2782	1	3	50
2776	0	3	51
2765	1	3	52
2738	0	3	53
2719	0	3	54
2682	1	3	55
2676	1	3	56
2662	1	3	57
2654	1	2	58
2654	1	2	59
2648	0	3	60
2634	1	3	61
2629	1	3	62
2628	1	3	63
2607	1	3	64
2597	1	3	65
2570	1	1	66
2566	1	3	67
2556	0	2	68
2526	1	3	69
2503	1	3	70
2485	0	3	71
2479	1	3	72
2470	1	1	73
2466	0	1	74
2455	0	1	75
2453	0	3	76
2453	1	1	77
2432	0	2	78
2420	1	3	79
2413	1	3	80
2411	0	3	81
2411	1	3	82
2382	0	3	83
2377	1	2	84
2367	0	2	85
2363	1	2	86
2362	1	2	87
2357	1	3	88
2330	0	2	89
2327	0	2	90
2325	1	3	91
2317	0	1	92
2316	1	3	93
2306	1	3	94
2299	1	3	95
2285	1	3	96
2274	0	3	97
2273	0	2	98
2273	0	3	99
2273	1	2	100
2268	1	1	101
2265	1	2	102
2263	1	3	103
2251	0	2	104
2241	1	3	105
2234	1	3	106
2227	0	3	107
2169	0	1	108
2168	1	1	109
2152	1	3	110
2139	0	3	111
2130	1	1	112
2101	0	1	113
2093	0	2	114
2086	1	2	115
2079	0	2	116
2068	0	3	117
2065	1	2	118
2062	1	1	119
2051	0	2	120
2045	1	2	121
2043	1	3	122
2041	1	2	123
2039	1	2	124
2039	1	3	125
2039	1	3	126
2034	0	3	127
2029	1	3	128
2028	0	3	129
2026	0	3	130
2024	1	3	131
2006	0	3	132
1993	0	2	133
1985	0	3	134
1977	0	3	135
1967	0	1	136
1964	1	3	137
1962	0	1	138
1940	1	1	139
1901	0	3	140
1900	1	2	141
1892	1	3	142
1892	1	3	143
1884	1	3	144
1876	1	1	145
1871	1	3	146
1867	1	2	147
1858	0	3	148
1836	0	2	149
1832	1	3	150
1801	0	2	151
1800	0	2	152
1796	1	2	153
1792	1	1	154
1792	1	2	155
1791	0	3	156
1779	0	2	157
1777	0	2	158
1773	0	1	159
1772	1	2	160
1770	0	3	161
1769	1	1	162
1746	0	3	163
1734	0	1	164
1731	0	3	165
1725	0	2	166
1717	1	2	167
1713	1	2	168
1704	1	2	169
1703	1	3	170
1702	1	2	171
1700	1	2	172
1680	0	2	173
1672	0	3	174
1672	0	3	175
1661	1	1	176
1655	1	1	177
1643	0	3	178
1643	1	1	179
1640	0	2	180
1639	0	3	181
1635	0	2	182
1627	1	2	183
1623	1	2	184
1621	0	3	185
1619	0	2	186
1618	0	3	187
1617	0	3	188
1615	1	1	189
1612	0	2	190
1604	0	3	191
1600	1	2	192
1593	0	3	193
1579	0	2	194
1578	1	3	195
1568	1	3	196
1561	1	2	197
1546	1	3	198
1541	0	3	199
1539	0	2	200
1499	0	2	201
1493	0	2	202
1470	1	3	203
1460	1	3	204
1455	0	1	205
1431	1	2	206
1426	0	3	207
1417	1	3	208
1412	1	3	209
1394	1	3	210
1392	1	2	211
1379	0	2	212
1352	0	1	213
1350	0	3	214
1339	1	1	215
1338	1	2	216
1333	0	2	217
1322	0	3	218
1318	0	3	219
1318	0	3	220
1311	1	2	221
1299	0	2	222
1299	0	3	223
1275	0	1	224
1269	0	1	225
1269	0	3	226
1237	0	2	227
1236	0	3	228
1234	1	1	229
1231	0	1	230
1217	0	3	231
1213	0	2	232
1212	0	3	233
1205	0	1	234
1197	0	1	235
1195	0	3	236
1189	0	2	237
1166	0	2	238
1162	1	1	239
1145	1	3	240
1144	1	1	241
1140	1	1	242
1121	0	1	243
1120	1	2	244
1114	1	1	245
1110	1	1	246
1104	1	1	247
1085	1	1	248
1085	1	2	249
1072	0	2	250
1066	0	1	251
1033	0	3	252
1030	0	3	253
1020	0	1	254
1012	0	3	255
998	0	3	256
997	0	3	257
982	0	2	258
971	0	3	259
952	0	1	260
950	0	3	261
927	0	3	262
917	1	2	263
909	0	1	264
897	1	3	265
885	0	2	266
882	0	2	267
868	1	1	268
846	1	2	269
814	0	3	270
741	1	1	271
682	0	2	272
681	1	2	273
636	0	2	274
598	0	1	275
597	0	1	276
573	1	2	277
572	0	2	278
538	1	3	279
536	0	1	280
517	0	2	281
501	1	2	282
497	1	1	283
454	0	2	284
437	0	3	285
404	1	2	286
373	1	1	287
366	1	2	288
335	1	2	289
308	0	1	290
304	1	1	291
285	1	1	292
249	0	1	293
214	1	1	294
211	0	3	295
193	0	3	296
175	1	1	297
163	0	3	298
144	0	2	299
109	0	2	300
87	0	1	301
84	0	3	302
73	0	2	303
69	1	2	304
61	1	1	305
60	0	1	306
58	0	2	307
12	0	1	308
