revenue	gender	retargeting	rank
4139	1	3	1
3994	1	3	2
3906	1	2	3
3705	0	3	4
3691	0	3	5
3661	1	3	6
3514	1	2	7
3469	1	2	8
3449	1	3	9
3398	1	3	10
3383	0	3	11
3383	1	3	12
3368	1	3	13
3352	1	3	14
3351	1	3	15
3343	0	2	16
3304	1	3	17
3158	1	3	18
3137	1	2	19
3113	1	3	20
3111	1	2	21
3096	1	3	22
3092	1	3	23
3088	1	1	24
3078	0	1	25
3074	1	3	26
3068	1	3	27
3053	1	3	28
3032	1	3	29
3016	0	3	30
3012	1	3	31
2980	0	2	32
2954	1	3	33
2930	1	3	34
2921	1	3	35
2910	1	3	36
2888	1	3	37
2883	0	3	38
2879	1	3	39
2878	1	3	40
2867	1	3	41
2838	1	2	42
2838	1	3	43
2825	1	3	44
2792	1	3	45
2792	1	3	46
2787	1	3	47
2778	1	3	48
2769	0	2	49
2752	0	3	50
2718	1	3	51
2715	1	3	52
2675	1	3	53
2667	1	1	54
2660	0	1	55
2647	1	3	56
2644	0	3	57
2638	1	3	58
2629	1	3	59
2625	0	3	60
2599	1	3	61
2583	0	3	62
2582	1	3	63
2570	1	3	64
2551	0	2	65
2543	0	2	66
2533	1	2	67
2505	1	2	68
2500	0	3	69
2496	0	1	70
2490	0	1	71
2475	0	3	72
2473	0	3	73
2470	1	3	74
2449	0	3	75
2423	0	2	76
2413	1	3	77
2412	1	3	78
2399	1	3	79
2391	0	2	80
2391	1	3	81
2381	0	3	82
2375	0	3	83
2361	1	3	84
2345	1	3	85
2326	0	3	86
2320	0	2	87
2319	1	1	88
2316	1	3	89
2314	1	2	90
2283	0	3	91
2282	1	3	92
2275	1	3	93
2274	1	2	94
2253	1	2	95
2249	1	2	96
2226	1	3	97
2218	0	3	98
2213	0	2	99
2213	1	3	100
2200	0	3	101
2185	1	2	102
2184	1	3	103
2173	1	3	104
2158	0	2	105
2150	1	3	106
2147	0	1	107
2111	0	3	108
2106	1	3	109
2105	1	3	110
2097	0	2	111
2094	1	3	112
2090	0	3	113
2090	1	2	114
2085	0	3	115
2083	0	3	116
2080	0	1	117
2070	0	1	118
2058	1	2	119
2054	0	3	120
2038	1	2	121
2025	0	2	122
2018	1	2	123
2001	1	3	124
2000	0	3	125
1999	0	2	126
1998	0	3	127
1994	1	3	128
1990	1	2	129
1988	1	2	130
1980	1	3	131
1975	1	2	132
1970	0	1	133
1954	1	1	134
1931	0	1	135
1926	1	2	136
1925	1	3	137
1919	0	3	138
1917	0	3	139
1908	1	3	140
1898	0	3	141
1897	1	3	142
1890	1	1	143
1888	1	2	144
1888	1	3	145
1877	0	3	146
1877	0	3	147
1876	1	1	148
1865	0	1	149
1861	0	2	150
1852	1	1	151
1848	1	3	152
1847	1	1	153
1827	1	2	154
1825	1	2	155
1820	1	3	156
1811	0	2	157
1805	1	1	158
1757	1	1	159
1755	1	1	160
1753	1	3	161
1751	0	3	162
1736	1	2	163
1734	1	3	164
1720	1	3	165
1713	1	3	166
1707	0	3	167
1700	0	3	168
1698	0	3	169
1694	0	3	170
1694	1	3	171
1668	0	3	172
1655	0	3	173
1651	0	2	174
1595	1	1	175
1581	0	1	176
1568	0	2	177
1556	0	1	178
1548	1	2	179
1531	1	1	180
1505	1	2	181
1504	1	1	182
1504	1	2	183
1499	1	2	184
1492	0	3	185
1491	1	1	186
1490	1	2	187
1485	0	2	188
1463	1	2	189
1459	1	3	190
1458	0	2	191
1456	0	1	192
1455	1	1	193
1441	1	3	194
1419	0	2	195
1415	1	2	196
1413	0	3	197
1406	1	2	198
1399	0	1	199
1377	1	3	200
1365	0	3	201
1355	1	2	202
1353	1	3	203
1341	1	1	204
1338	0	2	205
1335	0	2	206
1323	0	2	207
1322	0	2	208
1319	0	2	209
1309	0	2	210
1301	1	3	211
1279	1	1	212
1235	0	3	213
1222	0	3	214
1214	0	1	215
1187	0	2	216
1182	0	1	217
1171	0	2	218
1171	1	1	219
1166	0	2	220
1161	0	2	221
1159	1	3	222
1148	0	2	223
1146	0	1	224
1145	0	2	225
1124	1	1	226
1112	1	1	227
1103	0	1	228
1103	0	3	229
1101	0	1	230
1096	0	2	231
1095	1	2	232
1085	0	3	233
1081	1	2	234
1076	0	1	235
1073	1	1	236
1072	1	2	237
1066	0	2	238
1054	1	2	239
1052	1	1	240
1051	1	3	241
1044	0	3	242
1043	1	3	243
1033	1	2	244
1022	0	3	245
1003	0	3	246
994	1	1	247
975	0	1	248
965	0	2	249
958	0	1	250
947	0	2	251
944	0	1	252
935	0	3	253
930	0	3	254
920	0	3	255
897	0	1	256
893	1	3	257
885	1	2	258
876	0	2	259
876	1	1	260
860	0	3	261
853	0	2	262
842	0	2	263
832	1	1	264
805	1	2	265
760	1	1	266
753	0	2	267
747	0	3	268
716	1	2	269
707	0	2	270
680	1	2	271
659	0	1	272
658	0	1	273
629	0	2	274
621	0	3	275
608	0	1	276
604	0	1	277
590	0	3	278
563	0	2	279
563	0	3	280
562	1	3	281
557	0	2	282
485	0	2	283
482	0	3	284
461	1	1	285
400	0	1	286
377	1	1	287
356	0	2	288
356	0	3	289
350	1	1	290
344	1	2	291
314	1	1	292
310	0	3	293
307	1	2	294
268	0	2	295
259	1	1	296
254	0	3	297
230	0	3	298
211	0	2	299
181	0	2	300
176	1	1	301
171	0	2	302
165	0	3	303
158	1	3	304
115	0	3	305
110	1	1	306
104	0	3	307
58	0	1	308
3	0	2	309
