revenue	gender	retargeting	rank
4690	1	3	1
4433	1	3	2
4191	1	2	3
4063	1	3	4
3966	0	3	5
3944	0	3	6
3883	1	3	7
3827	1	3	8
3820	1	3	9
3786	1	3	10
3664	1	3	11
3624	1	3	12
3493	1	3	13
3458	1	3	14
3450	1	3	15
3435	1	3	16
3434	0	3	17
3387	1	3	18
3377	1	2	19
3367	1	3	20
3311	1	3	21
3278	1	2	22
3213	1	3	23
3189	1	2	24
3169	1	3	25
3167	1	3	26
3164	1	3	27
3158	1	3	28
3133	0	3	29
3114	1	3	30
3057	1	3	31
2994	1	3	32
2987	1	3	33
2968	0	2	34
2962	1	3	35
2959	1	3	36
2916	0	1	37
2899	1	3	38
2895	0	3	39
2888	1	3	40
2879	1	3	41
2863	1	3	42
2825	1	1	43
2825	1	2	44
2754	0	3	45
2750	1	3	46
2722	1	3	47
2712	1	3	48
2709	1	2	49
2704	0	3	50
2702	1	3	51
2700	1	3	52
2690	1	2	53
2682	1	3	54
2681	1	3	55
2679	0	2	56
2678	0	2	57
2677	1	3	58
2669	0	1	59
2651	1	3	60
2645	1	1	61
2624	1	3	62
2618	1	1	63
2614	0	2	64
2611	0	1	65
2601	0	3	66
2585	1	3	67
2568	1	1	68
2558	1	3	69
2546	1	1	70
2544	0	3	71
2544	0	3	72
2507	0	3	73
2503	1	3	74
2483	1	3	75
2473	0	3	76
2472	1	3	77
2471	0	3	78
2453	1	1	79
2448	1	3	80
2418	0	2	81
2398	1	2	82
2389	1	3	83
2379	0	3	84
2378	0	3	85
2376	1	3	86
2370	0	1	87
2370	1	2	88
2368	1	3	89
2353	1	1	90
2347	0	2	91
2340	1	3	92
2335	1	3	93
2327	1	3	94
2309	0	3	95
2304	1	3	96
2277	1	3	97
2265	0	3	98
2262	0	2	99
2260	1	3	100
2257	1	1	101
2249	1	1	102
2247	0	3	103
2235	0	1	104
2210	0	2	105
2210	0	2	106
2209	1	1	107
2203	0	3	108
2201	0	3	109
2191	1	2	110
2186	0	3	111
2185	1	2	112
2177	1	3	113
2146	0	3	114
2134	0	3	115
2132	1	2	116
2131	0	3	117
2127	1	3	118
2123	1	3	119
2111	1	3	120
2110	1	1	121
2091	0	1	122
2085	1	3	123
2081	0	2	124
2079	0	3	125
2075	1	3	126
2064	0	2	127
2052	0	3	128
2043	0	3	129
2038	1	3	130
2035	1	3	131
2031	0	3	132
2020	1	1	133
2001	0	3	134
1992	0	3	135
1988	0	2	136
1981	0	2	137
1969	0	2	138
1957	1	3	139
1956	1	3	140
1945	1	3	141
1937	1	3	142
1929	1	1	143
1926	1	3	144
1924	0	2	145
1921	0	2	146
1912	1	3	147
1911	1	2	148
1902	1	3	149
1896	1	3	150
1884	1	3	151
1859	1	2	152
1846	0	1	153
1844	1	2	154
1833	1	3	155
1828	0	2	156
1820	1	1	157
1800	0	3	158
1792	0	3	159
1782	1	1	160
1781	1	2	161
1767	0	2	162
1749	1	3	163
1737	1	1	164
1733	0	2	165
1733	0	3	166
1730	1	1	167
1715	0	3	168
1711	0	2	169
1710	0	3	170
1699	0	2	171
1691	0	2	172
1690	0	1	173
1675	0	1	174
1668	0	1	175
1657	0	2	176
1657	0	2	177
1655	0	3	178
1652	1	2	179
1647	0	3	180
1633	0	3	181
1624	0	3	182
1618	0	1	183
1617	1	2	184
1610	1	1	185
1602	0	3	186
1592	0	2	187
1591	1	2	188
1585	0	2	189
1584	1	3	190
1579	0	2	191
1568	1	3	192
1555	0	1	193
1553	0	2	194
1549	1	2	195
1546	1	3	196
1526	0	3	197
1526	1	2	198
1524	0	3	199
1520	1	1	200
1513	0	1	201
1502	1	2	202
1495	0	1	203
1487	1	2	204
1485	0	1	205
1456	1	1	206
1453	1	2	207
1451	1	2	208
1448	1	3	209
1420	1	1	210
1419	0	2	211
1410	1	3	212
1409	1	1	213
1395	1	1	214
1393	0	3	215
1385	1	3	216
1376	1	1	217
1356	1	2	218
1355	0	3	219
1346	0	3	220
1333	0	3	221
1332	1	1	222
1298	0	2	223
1297	0	3	224
1294	0	2	225
1291	0	1	226
1291	0	2	227
1266	0	3	228
1256	1	3	229
1253	0	1	230
1249	1	2	231
1220	0	3	232
1191	0	3	233
1183	0	2	234
1168	0	3	235
1160	0	1	236
1151	0	2	237
1150	0	2	238
1134	1	2	239
1130	1	2	240
1124	0	3	241
1123	1	1	242
1115	0	2	243
1114	1	3	244
1097	0	1	245
1091	1	1	246
1084	0	3	247
1075	1	2	248
1052	1	2	249
1050	1	3	250
1027	0	1	251
1026	0	1	252
1026	1	2	253
1025	1	2	254
1012	1	1	255
983	0	3	256
980	0	3	257
945	0	3	258
944	0	2	259
935	0	1	260
935	0	3	261
932	1	2	262
930	0	3	263
921	0	2	264
890	0	3	265
876	0	2	266
875	0	1	267
872	0	3	268
868	1	2	269
856	1	1	270
847	0	2	271
842	0	2	272
782	0	3	273
754	0	1	274
740	0	3	275
736	0	2	276
714	0	2	277
706	1	1	278
700	1	2	279
692	1	2	280
679	0	1	281
656	1	2	282
637	0	1	283
634	1	1	284
604	0	2	285
603	0	2	286
578	1	1	287
577	0	1	288
567	1	2	289
529	0	1	290
495	1	2	291
478	1	1	292
452	0	3	293
418	0	3	294
399	0	1	295
393	0	2	296
389	1	2	297
331	1	2	298
317	1	2	299
299	0	1	300
290	0	2	301
266	0	2	302
263	1	1	303
232	0	2	304
181	1	3	305
71	0	1	306
49	0	3	307
37	1	2	308
