revenue	gender	retargeting	rank
4569	1	3	1
4141	1	3	2
4126	1	3	3
4122	1	3	4
3984	1	3	5
3898	0	2	6
3880	1	3	7
3864	1	3	8
3707	1	3	9
3699	1	3	10
3692	0	3	11
3554	1	3	12
3456	1	3	13
3403	1	3	14
3403	1	3	15
3346	1	3	16
3335	1	2	17
3320	0	3	18
3253	1	3	19
3252	1	2	20
3223	1	3	21
3217	1	3	22
3198	0	2	23
3182	1	3	24
3164	1	2	25
3160	0	2	26
3158	1	3	27
3152	1	3	28
3142	1	3	29
3119	1	2	30
3056	1	2	31
3031	1	1	32
3016	1	1	33
2992	0	3	34
2970	0	2	35
2907	1	3	36
2904	1	3	37
2892	1	3	38
2889	1	3	39
2880	1	3	40
2875	1	3	41
2870	0	3	42
2855	0	2	43
2824	1	1	44
2804	0	3	45
2784	0	3	46
2781	1	3	47
2779	1	2	48
2769	1	3	49
2750	1	3	50
2733	1	3	51
2719	1	3	52
2708	1	3	53
2706	1	3	54
2694	1	3	55
2690	0	2	56
2673	0	3	57
2659	0	3	58
2652	1	3	59
2650	1	3	60
2629	1	3	61
2626	0	3	62
2616	0	2	63
2597	1	3	64
2590	1	2	65
2583	1	3	66
2580	1	3	67
2575	0	3	68
2570	0	3	69
2560	1	2	70
2552	1	2	71
2551	0	2	72
2530	0	3	73
2516	0	3	74
2515	1	3	75
2484	0	3	76
2484	1	1	77
2468	1	3	78
2461	1	3	79
2457	0	3	80
2456	0	3	81
2449	0	1	82
2368	0	1	83
2367	1	3	84
2357	0	2	85
2351	1	3	86
2350	1	3	87
2340	0	3	88
2328	1	1	89
2323	1	3	90
2316	1	2	91
2313	1	3	92
2308	1	1	93
2306	1	3	94
2304	0	2	95
2304	0	3	96
2293	1	3	97
2287	1	2	98
2285	0	1	99
2280	1	2	100
2274	1	3	101
2247	1	3	102
2239	0	3	103
2238	1	3	104
2235	0	2	105
2234	0	2	106
2217	1	3	107
2210	0	2	108
2210	1	3	109
2187	1	3	110
2186	0	3	111
2186	1	3	112
2180	1	3	113
2170	1	2	114
2168	1	3	115
2166	1	2	116
2124	0	3	117
2120	0	2	118
2111	1	2	119
2111	1	3	120
2109	0	2	121
2109	1	1	122
2108	1	3	123
2107	0	3	124
2089	1	1	125
2088	0	1	126
2087	0	3	127
2075	0	3	128
2075	1	2	129
2071	0	3	130
2062	0	1	131
2058	1	2	132
2054	0	2	133
2053	0	3	134
2022	1	3	135
2021	1	2	136
2017	0	3	137
1993	1	3	138
1986	1	2	139
1983	1	3	140
1970	0	3	141
1964	1	3	142
1959	1	3	143
1953	1	3	144
1948	0	3	145
1945	0	3	146
1940	1	1	147
1937	0	3	148
1932	0	3	149
1916	0	3	150
1916	1	2	151
1908	1	1	152
1907	1	3	153
1904	1	3	154
1904	1	3	155
1903	1	2	156
1879	1	2	157
1861	1	3	158
1858	0	1	159
1841	0	3	160
1840	0	3	161
1839	1	3	162
1830	0	2	163
1812	0	2	164
1809	1	3	165
1807	0	1	166
1807	1	2	167
1804	1	1	168
1802	1	3	169
1770	0	2	170
1762	0	1	171
1759	1	3	172
1757	0	3	173
1748	1	2	174
1739	0	3	175
1738	1	2	176
1737	0	2	177
1733	1	1	178
1731	0	3	179
1716	1	1	180
1714	1	1	181
1703	0	3	182
1691	0	2	183
1690	0	2	184
1689	0	3	185
1687	1	1	186
1664	0	1	187
1661	1	1	188
1655	0	1	189
1649	0	3	190
1648	0	2	191
1637	0	1	192
1635	1	1	193
1631	0	2	194
1621	0	1	195
1620	1	1	196
1611	1	2	197
1598	0	2	198
1574	0	2	199
1572	0	1	200
1567	0	2	201
1567	0	3	202
1563	0	1	203
1551	1	1	204
1544	1	1	205
1530	0	1	206
1528	1	3	207
1518	0	2	208
1517	1	2	209
1516	0	3	210
1510	1	3	211
1493	0	3	212
1491	1	2	213
1488	0	1	214
1478	0	3	215
1470	1	2	216
1458	0	2	217
1458	0	3	218
1451	1	3	219
1450	1	2	220
1439	0	1	221
1438	0	2	222
1431	0	2	223
1416	0	2	224
1405	1	2	225
1395	1	1	226
1378	0	2	227
1361	0	3	228
1356	0	3	229
1354	0	3	230
1347	0	1	231
1333	0	2	232
1333	1	1	233
1328	0	2	234
1310	0	3	235
1308	1	1	236
1300	0	2	237
1297	1	2	238
1295	1	2	239
1288	0	3	240
1285	1	1	241
1270	0	3	242
1269	1	1	243
1268	1	2	244
1267	1	3	245
1261	1	2	246
1250	1	1	247
1247	0	3	248
1241	0	1	249
1238	1	3	250
1227	1	2	251
1199	0	1	252
1198	0	2	253
1197	1	2	254
1191	0	2	255
1128	0	3	256
1117	0	3	257
1117	1	3	258
1114	0	1	259
1107	0	2	260
1107	1	1	261
1096	0	2	262
1086	1	2	263
1084	0	3	264
1077	0	2	265
1060	0	2	266
1046	0	1	267
1045	0	3	268
1038	1	2	269
1013	0	3	270
1006	1	3	271
994	0	2	272
991	1	3	273
990	1	1	274
966	1	3	275
954	0	3	276
929	0	2	277
873	0	2	278
868	0	1	279
867	0	1	280
855	1	2	281
842	0	2	282
836	0	2	283
831	0	1	284
802	1	1	285
784	0	2	286
782	0	1	287
747	0	3	288
739	1	2	289
733	0	2	290
713	0	3	291
709	1	1	292
610	0	2	293
595	1	2	294
583	0	1	295
562	0	1	296
558	0	1	297
504	0	3	298
502	0	1	299
386	0	3	300
361	1	1	301
356	1	1	302
304	0	1	303
273	0	2	304
200	0	1	305
193	1	2	306
185	1	1	307
160	0	2	308
148	0	3	309
147	0	3	310
124	1	2	311
69	0	1	312
