sales	price	adspend	adm
1625	145	981	532
872	291	788	630
260	216	393	1401
1809	121	720	1664
932	188	655	1515
710	176	687	516
486	230	711	1032
1739	144	736	691
1473	189	608	1278
1378	221	907	733
1342	138	836	1953
1144	174	820	484
698	210	509	1028
1398	138	679	912
615	241	703	608
404	201	514	1264
1007	264	676	1020
674	166	765	1432
1787	207	760	736
1759	207	982	455
1048	286	771	2019
2054	98	911	984
1394	93	398	1363
1716	244	941	761
676	241	643	1418
848	158	775	1006
395	107	423	1293
1022	190	721	1409
183	263	487	1575
672	353	731	1077
833	285	779	863
2235	96	953	269
1215	194	818	1886
1270	258	1007	418
1156	244	838	1479
1164	184	744	923
806	124	562	1768
1480	103	767	1976
2098	166	1132	1040
1181	248	638	719
688	209	429	1360
88	251	483	1497
952	193	761	499
1010	250	829	1927
1125	174	814	573
1516	153	778	1569
1890	190	997	837
1003	219	638	1359
924	248	487	935
896	330	854	1368
1476	124	848	1752
719	253	595	1091
1062	199	856	1476
1691	227	893	1492
1104	212	656	1275
1333	208	777	852
2095	132	910	982
1555	224	1012	1645
2041	130	928	1158
491	186	507	1033
1007	161	631	1536
974	194	707	1752
1004	112	724	845
806	213	789	762
1240	235	823	1130
1064	171	586	1385
821	174	668	1461
1029	243	907	1141
889	161	906	1101
1823	166	773	1100
1207	222	787	873
1940	83	833	1678
1360	112	774	1265
1039	107	829	678
1893	257	773	1498
1497	221	1035	1115
822	233	640	1190
1132	258	858	1079
430	192	634	550
553	255	668	742
469	244	477	1148
1239	236	740	1444
1302	291	992	1249
882	281	574	893
1094	183	768	844
998	126	822	1085
1431	125	644	690
431	174	663	1352
720	186	814	1321
1122	218	777	750
1195	162	778	941
1081	214	714	1507
756	215	604	1818
997	217	881	1151
1582	115	678	839
2144	205	1097	1038
1254	276	892	884
1503	251	927	1289
1272	155	779	1550
814	198	653	1593
706	226	501	1146
1655	135	1057	1521
768	241	791	865
1484	185	812	1552
864	174	813	1029
832	198	658	1225
1684	194	1034	1952
212	256	619	597
1809	170	919	1878
673	232	669	514
1352	156	709	1668
1676	131	1016	1758
661	294	775	1086
1127	311	818	38
589	250	627	1136
1901	92	815	1222
1543	238	802	1288
1220	238	787	479
1682	163	751	563
1274	208	868	530
830	196	517	1706
1602	169	981	1272
921	268	757	1476
1613	247	800	933
1033	223	761	1623
1165	251	871	498
973	244	766	831
984	233	728	1612
692	184	585	1197
1703	192	897	1576
138	287	476	1620
1818	147	884	1728
454	236	649	1763
1072	297	697	677
1646	158	780	1764
832	147	801	1109
1282	271	883	916
685	212	751	961
1086	186	738	1516
1749	189	712	1006
691	164	508	1007
1332	249	852	1068
1193	228	632	797
1284	268	638	726
968	249	822	1372
1121	207	697	1361
1039	203	806	1233
1278	216	546	1918
1252	186	762	1108
1906	93	851	1453
792	254	666	2026
1273	310	780	26
1254	183	599	1717
1491	216	845	1046
1339	218	1049	889
1090	249	731	813
1098	273	568	1564
1732	199	898	1302
1459	169	738	1371
1026	188	679	1201
1788	80	674	953
542	307	688	1205
394	215	498	466
1531	222	942	1092
1127	265	853	2190
869	223	784	1158
1559	91	679	954
1270	222	1106	786
434	162	372	1079
1710	214	991	1423
2409	151	956	669
1136	168	814	520
1350	163	704	1251
788	252	874	569
707	229	798	1189
1731	138	886	1448
1637	125	735	1862
1193	139	703	1203
1448	180	842	1597
1325	175	714	821
1373	227	680	1329
1172	207	681	1806
1743	240	946	959
891	280	563	961
1120	111	622	1409
618	220	521	1259
1237	163	848	2004
1895	237	964	978
1298	194	788	1451
1052	115	681	417
729	253	634	1650
961	281	652	1067
2143	240	754	1285
1571	199	785	1086
1358	190	887	1117
1775	243	820	792
1246	164	721	1633
1205	187	818	1461
1944	53	715	407
1540	191	920	815
1180	199	853	1095
1279	242	645	1118
1060	118	565	1668
1288	164	889	827
1512	153	1001	1133
914	181	719	1448
770	265	780	1806
925	203	720	755
1503	164	1036	902
940	300	740	975
813	197	731	1124
988	214	717	910
1212	147	942	918
766	154	437	1620
1121	57	528	1131
1093	150	566	1130
797	189	744	1621
565	231	450	1543
727	146	513	640
2036	158	846	1012
654	190	520	524
1278	232	917	1190
1063	163	713	1330
242	239	563	1152
320	279	695	867
938	151	611	1157
1870	168	863	179
1685	211	793	733
1318	135	720	1933
1568	200	835	1370
1496	171	670	2487
1021	241	757	1335
1221	187	627	2330
1505	162	870	2008
1734	159	807	1762
1916	195	949	1195
965	167	794	1046
1378	97	610	1518
587	267	602	969
1562	92	743	993
1350	222	864	1390
718	283	725	1160
1327	208	822	796
1808	133	787	1033
85	283	567	759
1382	201	658	1506
546	227	678	1429
