downloadsSD	academyAward	customerRating	downloadsHD	movieID
4257	1	2	1638	1
3620	1	4	1469	2
810	0	3	1453	3
5571	1	5	1215	4
3531	0	5	1724	5
1776	0	2	2407	6
3714	1	5	880	7
962	0	1	1825	8
4571	1	3	2539	9
4722	1	5	949	10
2531	1	4	2843	11
1028	0	1	1055	12
3680	0	5	1184	13
3202	1	4	1537	14
3228	1	4	1911	15
3001	1	4	2548	16
2550	0	4	1961	17
3778	0	5	1414	18
3788	0	5	1441	19
2524	0	4	1696	20
4495	1	5	170	21
1122	0	1	1934	22
1691	0	3	1987	23
4331	1	2	2640	24
3540	1	5	1514	25
1449	0	2	1183	26
4467	1	5	2336	27
2972	0	4	1716	28
3206	0	5	1379	29
1052	0	1	1491	30
2587	0	5	1683	31
1473	1	3	1607	32
3316	1	5	2603	33
1717	0	2	1362	34
2117	0	4	1283	35
1219	0	4	1338	36
2039	0	2	1320	37
840	0	3	1406	38
4517	1	5	2125	39
3901	1	4	2211	40
1486	0	2	2102	41
2713	1	4	2626	42
1150	0	1	1178	43
2975	0	4	2087	44
4051	0	5	1286	45
1711	0	3	1110	46
1053	0	1	1975	47
2090	0	3	1642	48
2535	0	5	1663	49
2015	1	1	1993	50
3278	1	5	1938	51
2773	1	4	2475	52
2924	0	4	1658	53
2165	0	4	1742	54
4664	1	4	1457	55
1091	0	1	1305	56
1242	0	1	1734	57
2826	0	5	2078	58
1287	0	2	1293	59
4484	1	5	3490	60
4948	1	4	2125	61
2064	0	3	1482	62
3230	1	2	2464	63
3048	1	3	898	64
4038	1	3	3020	65
3062	1	3	1995	66
5369	1	4	3374	67
1570	0	2	496	68
2156	1	5	1269	69
2763	0	3	1859	70
2711	0	5	1308	71
2200	1	3	2145	72
2222	0	4	1428	73
2934	1	3	1847	74
3718	1	4	2067	75
3205	1	5	1934	76
4949	1	4	3693	77
796	0	3	919	78
1345	0	2	1992	79
2440	1	2	2204	80
2508	0	3	1223	81
1002	0	2	807	82
3181	1	4	1887	83
3571	1	3	1822	84
3053	0	3	1818	85
2399	1	5	4182	86
3733	1	3	2445	87
3090	0	4	2164	88
2406	0	4	1477	89
1498	1	3	4311	90
3436	1	2	1247	91
3800	1	5	3218	92
2499	0	5	1295	93
3080	1	2	1583	94
3370	1	4	3310	95
2432	0	3	2004	96
3312	0	3	867	97
2435	1	3	2255	98
3998	1	4	2811	99
1931	0	2	954	100
3661	1	3	1778	101
4121	1	3	3041	102
5227	1	5	3229	103
2977	1	3	1711	104
1887	0	4	1483	105
3703	1	4	2711	106
2697	0	4	1761	107
3876	1	4	2157	108
3892	1	5	1051	109
1891	0	3	2176	110
998	0	1	1255	111
2547	1	3	1695	112
3419	1	5	3657	113
2380	1	4	2546	114
2432	1	1	2153	115
1763	1	4	1935	116
2080	0	3	1213	117
2274	0	4	1116	118
1156	0	1	1834	119
3356	1	5	3316	120
3211	1	2	2973	121
2136	0	3	1925	122
3375	0	5	656	123
2702	1	5	2340	124
2001	0	3	1527	125
3481	0	4	999	126
2651	1	5	981	127
3179	1	3	2924	128
1412	0	2	2042	129
3786	0	5	2048	130
4169	0	4	1745	131
3454	1	3	1674	132
5493	1	3	1402	133
922	0	2	2427	134
2687	0	4	2068	135
3198	1	5	988	136
3632	1	4	1822	137
4436	1	5	2194	138
3630	1	3	3410	139
2767	1	4	1975	140
3060	1	1	1825	141
4687	1	4	1656	142
2660	1	5	1138	143
2241	0	5	676	144
2455	0	3	1458	145
1308	0	2	1580	146
1820	1	1	1976	147
3307	1	1	1136	148
2676	0	5	1639	149
2495	0	5	1519	150
1210	0	1	1389	151
1766	0	3	1850	152
1284	0	2	1143	153
2550	0	5	1357	154
4445	1	5	942	155
1480	0	2	1529	156
3936	1	5	3145	157
969	0	1	1000	158
4305	1	5	3185	159
2694	0	4	952	160
2969	1	5	1954	161
1001	0	1	1904	162
3757	1	5	1981	163
2551	1	3	2457	164
2288	0	3	1143	165
1586	0	2	1294	166
3283	0	5	1341	167
3147	1	2	2717	168
5227	1	5	1547	169
3504	1	3	1482	170
3933	1	5	3557	171
3160	0	5	1710	172
3355	0	5	1276	173
995	0	1	1784	174
3204	1	5	1425	175
1232	0	2	2279	176
3750	1	4	2084	177
3625	1	4	1177	178
2229	0	5	1761	179
4029	1	4	2655	180
5274	1	5	1748	181
2523	0	4	1771	182
4360	1	5	2754	183
1060	0	1	2574	184
1693	0	4	2262	185
3313	0	4	1568	186
767	0	1	1295	187
2001	0	3	1854	188
2753	0	3	1238	189
3063	0	3	1985	190
2795	1	3	2285	191
5622	1	4	1283	192
4041	0	5	464	193
2144	0	3	2231	194
2689	1	3	2712	195
3034	0	3	1510	196
1633	1	2	1225	197
3537	1	3	1695	198
2810	1	5	2429	199
2903	1	4	1792	200
