downloads	academyAward	customerRating	movieID
2637	1	3	1
2960	1	3	2
1382	1	1	3
2194	1	2	4
3117	1	3	5
2228	0	3	6
1015	0	2	7
2014	1	3	8
3242	1	3	9
2951	1	3	10
1224	1	2	11
1689	0	3	12
2060	0	1	13
2205	0	2	14
3190	1	3	15
1683	0	2	16
1289	1	2	17
708	0	1	18
1721	1	1	19
1823	0	2	20
3395	1	3	21
3538	1	3	22
2642	1	3	23
1127	0	3	24
1824	0	2	25
1553	1	2	26
2320	1	2	27
1294	0	1	28
2441	1	3	29
1030	0	3	30
1327	0	3	31
1620	0	2	32
2289	1	2	33
1143	0	1	34
1316	0	2	35
3039	1	3	36
2430	0	3	37
1339	0	3	38
826	0	1	39
1864	0	3	40
2499	1	3	41
2801	1	3	42
2674	1	3	43
4194	1	3	44
2930	1	3	45
1718	0	3	46
1260	1	1	47
1545	1	2	48
1754	0	3	49
3448	1	3	50
1751	1	2	51
1617	0	3	52
1955	1	2	53
2532	1	2	54
2415	1	3	55
853	0	3	56
1584	0	2	57
2109	0	2	58
1681	0	2	59
2738	1	3	60
3470	1	3	61
1739	0	3	62
1646	1	1	63
3026	1	3	64
1399	0	3	65
1434	0	3	66
1888	0	3	67
1867	0	3	68
1753	1	1	69
1921	0	2	70
2458	1	3	71
1206	1	2	72
1645	0	3	73
1204	0	3	74
1228	0	1	75
1150	0	3	76
1398	0	2	77
2232	0	3	78
3575	1	3	79
2085	0	2	80
1210	0	2	81
1979	0	2	82
2413	1	3	83
2957	1	3	84
1021	0	1	85
2018	0	3	86
943	0	1	87
2875	1	3	88
1347	1	2	89
1792	0	1	90
2464	1	2	91
2779	1	3	92
1726	1	2	93
1277	0	2	94
2638	1	3	95
2276	0	3	96
2065	0	3	97
1843	0	3	98
1659	0	2	99
1996	1	3	100
1502	0	1	101
3078	1	3	102
1639	0	1	103
1275	1	2	104
2806	1	3	105
2278	1	3	106
961	0	3	107
1208	0	1	108
2199	0	3	109
1109	1	1	110
2971	1	3	111
1154	0	1	112
2315	1	3	113
2434	1	3	114
2185	0	3	115
1727	0	3	116
2277	0	3	117
1196	1	2	118
2890	1	3	119
109	0	1	120
3330	1	3	121
1365	0	2	122
1231	0	2	123
1874	1	2	124
3192	1	3	125
1508	1	1	126
1609	1	2	127
2109	1	2	128
1294	0	2	129
1914	0	3	130
1594	0	1	131
1465	0	3	132
1684	1	1	133
2331	0	3	134
2313	1	3	135
1307	0	1	136
1232	0	3	137
2168	1	2	138
1786	0	2	139
2838	1	3	140
1612	1	2	141
1559	0	1	142
3151	1	3	143
1236	0	2	144
2277	1	3	145
2589	1	3	146
1797	0	3	147
965	0	1	148
1170	1	1	149
1094	0	2	150
1631	0	2	151
891	0	2	152
2295	1	2	153
1193	0	1	154
1456	0	1	155
1418	0	1	156
1672	0	2	157
3113	1	3	158
2143	1	3	159
1516	1	2	160
1105	0	1	161
354	0	2	162
1305	0	2	163
1837	0	3	164
1254	0	1	165
2023	0	2	166
1965	0	3	167
2573	1	3	168
1478	0	2	169
1744	0	1	170
1951	1	2	171
2952	1	3	172
1726	0	2	173
2762	1	3	174
807	0	1	175
1041	0	2	176
1357	0	3	177
750	0	2	178
1406	0	2	179
881	1	1	180
911	0	2	181
2230	0	2	182
1593	1	2	183
1541	0	2	184
1189	1	2	185
1313	0	2	186
2445	1	3	187
2040	1	2	188
1401	0	1	189
1868	1	2	190
2800	1	3	191
3189	1	3	192
1138	0	3	193
1500	1	1	194
1654	1	2	195
1380	0	1	196
2255	0	3	197
1037	0	1	198
2953	1	3	199
1290	0	1	200
1151	1	1	201
2911	1	3	202
2557	1	3	203
2073	1	2	204
849	0	2	205
1314	0	3	206
3312	1	3	207
1738	0	3	208
2377	0	3	209
2813	1	3	210
1963	0	3	211
1504	1	1	212
1957	1	2	213
2932	1	3	214
3429	1	3	215
1693	0	3	216
2524	1	3	217
1528	0	2	218
1198	0	3	219
1778	0	2	220
2147	1	3	221
1175	0	1	222
960	1	1	223
1417	1	1	224
1814	1	2	225
2631	1	2	226
2220	1	3	227
1157	1	2	228
2557	1	3	229
1000	0	3	230
2448	0	3	231
3531	1	3	232
1479	1	2	233
1996	1	2	234
2088	1	2	235
2507	0	3	236
1886	0	3	237
1500	1	2	238
2669	1	3	239
1352	1	2	240
2750	1	3	241
2981	1	3	242
2969	1	3	243
2716	1	3	244
2103	0	2	245
1600	0	2	246
1500	0	3	247
2115	0	2	248
2977	1	3	249
3420	1	3	250
1482	0	3	251
1315	0	3	252
1494	1	2	253
1330	1	1	254
3103	1	3	255
1039	1	1	256
2378	0	2	257
1631	0	2	258
1921	1	2	259
2507	1	3	260
1344	1	1	261
2249	0	3	262
2054	1	3	263
1501	0	3	264
1685	1	1	265
1777	0	3	266
1707	1	1	267
1117	0	1	268
2750	1	3	269
1859	0	1	270
1761	0	3	271
3323	1	3	272
2314	1	3	273
1129	1	2	274
1750	0	2	275
2178	0	3	276
1453	0	2	277
2143	1	3	278
2012	0	2	279
2791	1	3	280
1903	0	2	281
1668	0	3	282
1483	0	3	283
2336	1	3	284
2107	0	3	285
1851	1	2	286
1089	1	2	287
3087	1	3	288
1975	1	3	289
971	0	2	290
1267	0	1	291
2049	0	3	292
2147	1	3	293
1407	0	3	294
1885	0	3	295
3402	1	3	296
2006	1	2	297
1511	0	2	298
1582	0	3	299
3018	1	3	300
