sales	price	adspend	adm
1618	213	721	1698
1871	212	735	898
1234	174	811	805
129	240	625	1336
597	236	540	798
1254	198	919	1255
1184	222	747	1804
376	238	524	1634
1274	167	712	709
720	241	658	784
1770	130	1077	1980
1478	121	733	925
900	197	813	812
1846	176	876	2007
1061	167	806	1884
1018	159	711	964
1311	175	840	1141
615	306	739	1520
1554	263	1060	1209
623	180	593	1060
1415	189	571	1436
1165	214	696	1633
1212	235	836	740
1407	215	834	579
628	198	736	1387
891	203	762	1242
832	249	888	1207
1428	193	861	1052
1545	208	957	1027
1511	220	754	1015
834	177	702	893
1344	154	752	801
595	212	613	753
1435	220	810	799
1325	165	696	519
432	195	622	1618
689	224	753	1169
555	275	653	1228
1999	186	995	1144
1067	188	736	1402
1250	244	848	1420
1195	204	800	1520
990	259	837	716
1353	147	806	1128
1581	230	822	1101
1006	190	742	445
1285	103	638	1391
328	143	498	587
1534	278	854	1253
1204	210	688	1087
885	205	753	1288
740	187	544	856
1089	319	906	323
1648	172	834	1145
2044	216	1041	1530
435	131	458	619
1259	181	724	1238
1037	203	901	1596
788	222	741	1631
1439	184	888	1030
1309	236	767	406
989	285	897	1296
1504	215	808	1224
1314	148	752	893
1170	129	778	888
909	213	560	655
971	262	715	1648
1031	299	705	1244
657	244	612	755
1329	228	862	1141
1304	132	569	1405
1330	263	826	1213
1168	202	579	764
890	250	733	1418
1630	200	1004	913
1427	147	737	700
1204	189	791	1362
1829	186	1017	1361
642	200	774	602
1087	158	748	1307
1014	141	597	672
1101	219	668	581
1371	186	725	1067
785	196	831	901
1353	164	929	1519
841	159	468	740
2453	175	978	1213
818	176	721	1001
1251	136	784	960
719	276	661	1227
813	150	551	900
1249	255	806	2170
1853	223	890	747
1676	280	1087	1274
548	207	660	1773
838	165	611	961
2187	179	718	2039
687	233	632	1367
1291	125	986	811
1285	125	647	935
1410	209	786	1297
1016	205	560	608
1077	177	578	902
1441	42	579	1587
889	172	648	1074
919	184	783	927
1751	206	1013	1455
1072	232	837	1263
1189	181	641	853
1816	186	1031	1106
2133	110	1128	1075
993	214	792	1638
953	214	819	647
1604	158	981	995
1579	262	872	1297
706	207	647	1319
1419	143	720	1357
1834	152	949	1491
1651	106	821	791
863	229	704	1279
241	137	195	1582
1856	180	896	1344
1653	227	1014	504
1325	202	838	1779
1174	198	810	1674
1486	178	888	658
567	134	330	887
463	269	428	1271
436	315	598	827
907	218	712	815
1995	157	897	427
687	189	509	1506
1285	137	748	971
1346	260	775	1761
1126	237	748	276
1639	123	881	982
1072	224	806	1437
1325	195	659	1698
1497	135	791	851
1662	225	845	1137
849	237	761	1527
723	117	344	1066
1178	251	921	1624
1148	250	858	1210
1416	143	750	1545
1396	204	912	1273
1147	130	670	1445
1270	244	981	1395
1194	226	825	1558
1637	239	879	1425
817	140	644	1289
939	183	726	827
1249	216	707	1203
1497	170	773	1119
1019	186	562	783
885	194	824	1283
1686	209	960	651
317	187	568	914
1450	203	734	1592
282	232	598	687
200	187	486	1781
1247	110	656	843
1440	183	976	1322
1185	243	766	1417
1406	249	985	654
1885	255	1048	1613
1877	225	920	847
1652	218	810	1053
858	266	815	1710
1344	233	838	1361
918	237	704	625
1114	173	703	1133
744	131	506	1916
1272	262	781	1009
1144	219	726	1268
1902	186	868	727
1178	193	940	928
312	211	372	666
873	230	638	2001
792	210	578	811
1387	124	867	1830
762	249	822	1503
1038	263	766	1046
1044	289	806	1540
1332	195	852	608
1510	164	769	1197
1572	84	788	1730
1549	275	1060	1430
1011	262	570	1268
1864	232	986	845
1085	211	750	1218
1271	168	881	1685
634	267	807	773
1258	203	657	801
571	185	759	1110
1199	138	763	1652
1106	166	776	1354
989	185	941	1164
1251	132	691	892
1531	173	970	1342
1529	329	926	1046
1623	200	813	1210
1672	240	785	1395
1113	178	735	1522
1072	183	684	767
1579	166	696	1283
1342	203	899	1405
410	181	629	1443
1216	290	721	1160
1450	124	485	1853
401	133	382	1247
704	183	693	780
1104	198	648	1337
336	277	685	1300
1110	229	775	248
1286	155	436	1509
1969	187	893	1440
1388	207	828	1449
1942	117	885	736
1409	189	779	1665
1097	187	787	750
1271	168	616	1644
887	165	656	1172
1428	187	622	1449
1279	232	632	1489
1199	187	745	869
1157	201	765	1073
1408	160	704	1436
701	179	698	1117
1190	229	923	380
594	152	669	2012
1250	200	788	555
686	263	699	1640
1397	206	669	891
1058	186	888	599
1823	152	906	1288
961	122	652	861
1284	202	703	1452
1005	197	926	1065
1217	165	718	1502
1464	199	863	1110
1699	224	882	1571
802	171	460	989
1402	232	859	668
1532	196	729	1562
520	181	552	542
684	186	691	1004
803	130	522	686
1441	270	1028	1131
