sales	price	adspend	adm
875	292	940	2287
1417	326	906	599
819	165	660	1460
1221	135	593	1149
1116	263	874	1310
1840	103	732	1140
1236	150	615	1035
1321	224	678	1606
386	239	548	1619
1086	181	729	1569
1914	168	862	1267
1326	243	794	1457
1813	286	1137	1324
1297	274	780	1126
1878	195	840	1191
1107	276	854	1189
1394	130	842	1773
1753	246	855	1637
1576	215	891	673
1401	218	933	1179
927	198	652	574
1082	262	626	1353
1307	156	700	324
794	228	687	1761
1571	156	897	1008
1247	128	525	934
959	186	656	1066
1498	250	830	1778
838	191	504	1175
2047	137	779	1170
1050	150	838	983
1050	276	853	1334
923	164	931	1745
683	140	470	1467
535	160	609	775
1004	185	906	1532
1119	105	711	1920
931	262	617	1171
1415	229	837	958
1124	272	840	1435
817	278	671	1267
950	144	724	861
898	173	581	1195
1106	198	623	937
865	124	559	1184
1134	110	651	594
780	175	829	1105
1573	119	750	1682
728	213	500	1899
1656	161	941	900
1031	172	637	1302
953	155	787	400
1421	179	1064	1000
1602	140	790	1465
1680	288	822	1587
1197	109	769	647
1769	184	825	1761
1559	249	834	2412
697	225	750	1845
581	151	519	1194
959	156	462	1113
1451	230	722	1481
1980	263	978	1602
1542	255	807	1973
384	109	514	1475
855	246	853	1006
990	259	787	951
1700	198	939	1168
620	184	701	1207
1268	170	965	1433
835	205	614	858
1787	74	883	1180
34	281	611	1302
615	220	626	1747
456	274	534	307
1116	185	766	1154
1746	186	971	1274
334	276	599	387
762	130	734	1147
1403	200	919	1818
1949	104	967	1106
1755	220	1015	1351
2073	133	742	1270
1368	221	830	668
506	173	567	793
1160	188	630	1319
1624	156	1075	799
1029	179	781	1277
1385	148	612	1016
510	302	676	1523
129	171	580	918
1782	143	817	973
1665	253	776	847
1143	159	839	959
1345	202	837	1423
1225	238	750	1156
1787	229	1038	1385
841	197	676	938
1362	110	774	975
896	138	635	995
1221	217	671	1132
1421	176	627	1154
735	249	635	868
317	251	573	891
612	324	690	1275
243	209	469	902
1271	286	642	1467
960	211	761	1317
464	200	598	1356
1473	221	902	1363
1107	163	795	543
556	225	590	988
1296	152	558	1118
1019	139	619	1010
497	207	621	953
1210	174	918	1115
807	202	691	1292
1133	199	613	1715
1103	216	863	1165
1433	173	798	1304
1903	151	823	2072
576	168	650	1255
259	197	577	1363
1328	149	875	1154
905	185	646	1590
1489	87	770	1024
1913	217	900	1863
1549	169	891	595
1308	107	856	1445
1789	161	770	1669
589	264	718	1707
968	195	898	939
897	267	649	1059
1208	195	864	1558
1734	239	943	431
1277	164	833	651
1618	274	1140	1360
796	189	777	1421
1341	244	928	1508
1229	238	830	1199
1748	99	784	1224
1573	88	727	1496
1447	77	777	1114
1118	174	666	1106
1481	161	882	1244
1535	192	836	1533
1447	147	794	593
1226	153	779	1844
1258	109	650	1747
2024	81	605	1018
1277	199	862	1155
868	231	851	1451
869	188	772	1273
1231	182	540	1262
1145	184	781	1384
1635	156	558	1624
964	252	651	1232
1593	123	803	1014
817	153	621	1543
492	230	595	791
1252	183	805	1321
1599	212	926	1007
1932	219	848	1131
646	209	603	742
1187	141	989	609
1367	194	689	926
314	218	382	976
522	218	608	649
797	288	737	1117
597	209	848	511
538	171	645	911
1215	158	841	648
672	235	644	678
903	213	854	1545
1475	139	996	894
1147	270	725	895
1020	200	739	1570
1756	208	970	1251
1248	128	671	1122
1265	251	787	1015
524	300	730	1351
1242	211	654	813
973	184	575	1280
1269	258	909	1357
1695	164	739	1434
1809	95	755	1478
1003	167	641	1089
859	104	693	405
844	250	686	1150
938	293	710	1051
1876	162	1038	1285
1362	243	978	1019
2077	150	988	36
1394	215	970	719
1476	212	916	1290
732	183	671	1146
1578	130	965	1289
1281	169	654	951
1584	227	1095	509
1517	206	912	1559
2210	111	949	2147
1481	189	689	934
568	273	869	2044
970	190	816	1473
1501	216	711	1385
685	162	605	895
319	189	638	1349
758	260	704	855
1433	153	867	1744
832	267	598	1435
680	190	658	1611
630	198	705	1584
866	248	581	1010
1016	258	730	1224
1490	205	846	1511
2141	127	843	1204
869	266	708	395
418	251	697	853
1198	230	835	1800
1784	140	893	906
766	269	627	1108
1020	247	735	903
1174	164	795	1054
1031	181	934	715
1447	241	736	1517
850	187	826	540
660	259	710	1030
125	279	656	1557
1310	119	664	494
837	306	794	294
544	298	593	1849
1103	196	926	833
1034	296	732	1119
733	279	833	1516
1529	164	770	786
1185	171	694	1476
1353	240	904	1098
310	125	531	1231
1118	224	764	539
1349	299	908	1053
1371	167	658	1334
566	262	521	1224
787	228	767	1493
1284	199	831	1139
1776	101	724	707
875	251	713	1635
1552	164	841	1035
667	188	683	1396
1404	258	991	1138
