downloadsSD	academyAward	customerRating	downloadsHD	movieID
3147	0	4	1977	1
2756	1	3	1754	2
3657	0	5	1383	3
2454	1	3	1841	4
805	0	1	2512	5
3680	1	4	2088	6
1448	1	5	2250	7
820	0	1	2278	8
1790	0	3	783	9
3665	1	5	3028	10
2149	0	2	2084	11
1567	0	3	1005	12
2723	0	5	1829	13
2685	0	5	1061	14
3273	1	4	3188	15
999	0	1	999	16
3135	1	3	1502	17
2753	1	4	1561	18
1357	0	3	1776	19
3598	1	4	3442	20
2406	0	3	1936	21
4564	1	4	2734	22
2110	0	3	1337	23
3622	1	5	1701	24
2631	0	4	1263	25
3108	0	5	1212	26
1029	0	3	1640	27
2849	1	1	2393	28
941	0	2	2183	29
2447	1	3	1832	30
3051	1	4	443	31
2408	0	5	1409	32
2598	1	5	2158	33
2644	0	3	1466	34
2840	0	4	1671	35
2763	0	5	1517	36
3393	1	5	2627	37
2357	0	4	1837	38
2846	1	5	1406	39
1936	0	3	1432	40
906	0	1	1311	41
3578	0	5	1860	42
2629	0	5	2005	43
4394	1	5	3544	44
6106	1	4	3226	45
1692	0	3	1575	46
1185	0	2	1212	47
4305	1	3	3569	48
1305	0	3	864	49
1534	0	4	1236	50
3492	1	2	1095	51
3322	1	5	1087	52
1353	0	3	1130	53
1762	0	3	2223	54
1472	0	2	654	55
1827	1	4	2506	56
1321	0	4	1585	57
4039	1	5	1649	58
4430	1	4	2294	59
4560	1	3	4334	60
5425	1	4	1299	61
3053	1	4	1226	62
4974	1	5	2683	63
1596	1	4	2440	64
4028	1	2	2382	65
2348	0	3	1077	66
1568	0	3	1216	67
3258	1	5	2699	68
4068	1	3	1604	69
890	0	1	1275	70
3046	1	3	2535	71
3235	1	3	1847	72
4403	1	5	1923	73
1344	0	4	1284	74
1142	0	2	2063	75
3085	1	3	1786	76
4852	1	5	1064	77
2300	1	3	1847	78
2540	0	4	1658	79
867	0	2	2517	80
3931	0	5	1510	81
3810	1	5	2299	82
2622	0	4	1527	83
928	0	1	1760	84
862	0	1	2126	85
2639	0	4	1636	86
4314	1	5	2421	87
4689	1	5	2004	88
849	0	1	1203	89
1527	0	4	1427	90
877	0	1	1389	91
3459	1	3	1676	92
2527	0	4	1579	93
2453	1	3	1319	94
2106	1	5	241	95
3886	1	5	2239	96
631	0	2	1728	97
2455	0	4	994	98
2218	1	1	2160	99
2510	0	4	2237	100
3172	0	5	1338	101
3427	0	5	1823	102
4470	1	4	1080	103
4874	1	4	1134	104
4373	1	2	2756	105
2406	0	3	1825	106
2969	1	4	2943	107
2837	1	3	2596	108
2219	0	4	871	109
3174	0	5	1418	110
4108	1	5	2172	111
2327	0	4	1904	112
3718	1	4	1967	113
4827	1	4	1105	114
1255	0	1	1687	115
2699	0	4	1145	116
2214	1	4	3349	117
3172	1	4	4019	118
3003	1	4	1784	119
3207	1	5	2655	120
2225	0	3	1644	121
2279	1	3	1586	122
2379	0	2	758	123
2609	0	3	1511	124
1008	0	1	1917	125
3392	1	4	1489	126
2546	0	5	1169	127
2757	0	2	1158	128
2607	1	5	2548	129
2864	0	5	1904	130
3071	0	5	2494	131
3357	1	5	1980	132
2175	1	1	1941	133
2579	0	5	1265	134
3907	1	5	2249	135
4964	1	3	2984	136
3341	0	5	690	137
4539	1	4	2903	138
1824	0	2	1082	139
1439	0	2	2065	140
5100	1	3	2014	141
2489	0	5	1321	142
5332	1	3	2562	143
943	0	1	1031	144
5031	1	5	2152	145
2051	0	4	1229	146
3001	0	5	1596	147
2373	0	2	1631	148
1150	0	2	1804	149
1894	1	5	2990	150
4086	1	3	1253	151
2282	1	4	1565	152
1979	0	5	1219	153
3236	1	2	2836	154
2224	1	5	2988	155
2847	0	3	1439	156
2880	1	5	1714	157
2413	1	1	1818	158
4321	1	5	3565	159
2281	1	2	1517	160
1939	0	2	2002	161
2563	0	3	1019	162
2265	0	3	1415	163
1657	0	3	1983	164
2227	0	4	1741	165
3048	1	4	1314	166
3016	1	2	1479	167
2544	0	3	1596	168
2056	1	3	2949	169
1071	0	1	1792	170
2161	1	4	1615	171
937	0	1	1897	172
2678	1	5	3297	173
2963	0	5	1609	174
2403	1	2	2655	175
3424	1	3	2237	176
2070	0	4	2122	177
1294	0	2	1828	178
2628	0	5	932	179
1110	0	1	2057	180
2975	1	2	1949	181
3666	1	3	2269	182
4195	1	4	2969	183
3051	1	4	2873	184
2823	0	3	798	185
1640	0	2	1816	186
2753	1	1	2918	187
2970	1	4	2140	188
2237	1	5	1953	189
4838	1	5	3124	190
4802	1	5	1698	191
4307	1	5	2499	192
4500	1	5	693	193
1320	0	2	1170	194
1262	0	3	1705	195
2959	0	4	1461	196
1054	0	1	1077	197
4092	1	3	1180	198
2545	1	2	3064	199
2531	1	3	3186	200
