downloadsSD	academyAward	customerRating	downloadsHD	movieID
1750	0	2	1553	1
3405	1	4	2180	2
1192	0	1	1639	3
1649	1	4	2175	4
2639	1	4	2660	5
4275	1	5	1458	6
3544	1	4	1024	7
1930	1	3	1537	8
3555	1	4	2949	9
1351	0	3	1653	10
927	0	1	1026	11
2385	1	3	2234	12
2172	0	2	1554	13
1827	0	2	1678	14
2923	1	2	2416	15
2611	1	4	1461	16
4270	1	4	1960	17
4423	1	5	1344	18
2373	0	4	727	19
3390	0	5	1290	20
2942	0	5	1491	21
4697	1	4	3048	22
3786	0	5	1896	23
1289	0	2	1343	24
3721	1	3	3562	25
1678	0	3	1881	26
3096	1	2	2762	27
3381	1	5	1040	28
2063	1	5	2209	29
2358	0	4	1757	30
2665	0	4	2043	31
3076	1	3	3823	32
2394	1	1	2747	33
3552	1	5	3676	34
859	0	1	973	35
2905	1	2	2714	36
2684	0	3	1304	37
3424	0	5	1763	38
1489	0	2	1009	39
2600	0	3	1791	40
2096	0	4	1613	41
5112	1	5	2236	42
2584	1	3	2407	43
3481	1	4	1515	44
2700	1	2	1736	45
1132	0	1	1753	46
2469	1	3	1030	47
3194	1	5	2329	48
2329	0	4	1415	49
2582	0	4	1042	50
4035	1	3	872	51
1443	0	3	957	52
1445	0	3	1696	53
4363	1	5	1931	54
3742	1	5	2096	55
1793	0	5	500	56
3644	1	5	2825	57
931	0	1	2242	58
3448	1	5	3426	59
888	0	1	1755	60
2100	0	3	2126	61
2377	1	1	1989	62
2184	0	3	1623	63
3137	0	5	1957	64
902	0	1	2222	65
2104	0	2	2059	66
811	0	2	1263	67
3659	1	5	2248	68
2842	0	5	1257	69
4663	1	5	976	70
1699	0	2	1384	71
2053	0	3	1500	72
3482	0	5	1281	73
3373	1	3	2855	74
2357	0	3	1815	75
2445	1	3	2318	76
1529	0	2	1775	77
4149	1	5	1423	78
2726	1	3	2518	79
1454	1	3	2055	80
4106	1	4	1042	81
2689	1	1	2882	82
503	0	3	1583	83
3188	0	5	1564	84
4491	1	5	1692	85
3059	1	3	2073	86
1907	0	4	1640	87
1027	0	1	1592	88
3730	1	4	2823	89
895	0	1	1428	90
1183	0	1	1751	91
3832	1	5	2122	92
2533	0	5	1527	93
1606	0	3	2315	94
2083	0	4	1613	95
3507	0	5	1427	96
1014	0	2	1819	97
4864	1	5	2395	98
2514	1	1	1399	99
2127	1	3	2036	100
2930	0	4	2144	101
2092	0	4	1749	102
3767	1	3	1869	103
863	0	4	2090	104
2611	1	3	3139	105
2124	0	2	1841	106
2654	1	3	3409	107
4971	1	5	2112	108
5188	1	2	2610	109
3497	1	4	3144	110
1994	0	3	1269	111
3440	0	5	816	112
4555	1	5	3305	113
1225	0	1	1619	114
3716	1	5	1119	115
2089	0	4	1062	116
3033	0	4	1729	117
2197	0	5	1251	118
1481	0	3	1848	119
2734	1	2	682	120
2211	0	4	1321	121
989	0	1	1273	122
2044	0	3	2171	123
5994	1	5	1818	124
4399	1	3	3921	125
1688	1	5	2222	126
962	0	1	1569	127
1919	0	4	1454	128
2577	0	5	1674	129
3776	1	3	1849	130
2594	0	5	898	131
5173	1	4	1705	132
3268	0	4	1453	133
3128	1	3	2014	134
3451	1	5	2976	135
4355	1	4	2321	136
3193	0	4	1406	137
3688	1	4	1994	138
2979	1	3	1175	139
2232	0	3	1900	140
2959	0	5	1280	141
1507	0	2	1861	142
3445	1	2	2510	143
3744	1	5	3021	144
1864	0	2	1717	145
2889	1	4	1816	146
4517	1	3	1253	147
4413	1	5	2249	148
3961	1	4	2703	149
1571	0	3	2430	150
2504	0	4	1938	151
1960	0	5	1793	152
4301	1	3	3315	153
843	0	2	719	154
4247	1	5	2921	155
3517	1	5	2583	156
4461	1	4	3211	157
1001	0	2	1603	158
2542	0	5	1606	159
1756	1	2	2619	160
2004	0	3	2228	161
4034	1	5	2331	162
2004	0	3	1367	163
2737	0	5	1655	164
1195	0	1	1901	165
5604	1	4	2064	166
1024	0	2	1406	167
1617	0	4	1501	168
2979	1	2	2493	169
4341	1	5	2250	170
4017	1	4	1682	171
2199	1	4	2803	172
2641	0	5	1792	173
4341	0	5	1366	174
1095	0	2	801	175
1521	0	5	529	176
823	0	1	1539	177
2026	0	3	1557	178
4921	1	4	2746	179
4059	1	4	2164	180
3018	1	3	2413	181
1168	0	1	694	182
4295	1	3	2572	183
3294	1	4	2261	184
5093	1	5	2812	185
5474	1	4	1641	186
2118	0	3	1537	187
3036	1	4	2569	188
3431	1	4	2034	189
1946	0	3	1096	190
2564	1	4	2995	191
4242	1	5	2354	192
1822	0	3	948	193
2473	1	1	1764	194
2297	0	4	2061	195
2338	0	3	1134	196
4015	1	5	2992	197
2981	1	5	1427	198
3952	1	5	2353	199
2400	0	4	1089	200
