downloads	academyAward	customerRating	movieID
1710	0	3	1
668	0	1	2
2149	1	3	3
1821	0	1	4
1803	1	2	5
3271	1	3	6
1267	0	2	7
2045	1	2	8
1969	1	2	9
1562	0	3	10
681	0	1	11
2143	1	2	12
1057	0	1	13
720	0	1	14
2727	1	3	15
1037	1	1	16
1420	0	2	17
2396	0	2	18
3363	1	3	19
2048	0	3	20
1892	1	2	21
726	0	2	22
2043	0	1	23
1223	1	2	24
1421	1	2	25
1924	0	3	26
913	0	3	27
1598	0	3	28
3162	1	3	29
1846	1	2	30
724	1	2	31
1776	0	3	32
1729	1	2	33
1028	1	1	34
1175	0	2	35
1722	1	2	36
1462	0	3	37
3298	1	3	38
1104	0	2	39
1702	0	2	40
3072	1	3	41
1309	0	3	42
1664	0	3	43
2955	1	3	44
1346	1	1	45
1857	0	3	46
1293	0	3	47
1413	0	1	48
490	0	2	49
1900	0	2	50
1520	1	2	51
2860	1	3	52
1522	0	3	53
737	0	1	54
976	0	2	55
2864	1	3	56
1753	1	1	57
2194	1	3	58
406	1	1	59
1427	1	1	60
975	0	1	61
3471	1	3	62
2898	1	3	63
891	1	1	64
1718	0	3	65
2005	0	3	66
1753	0	3	67
1690	0	3	68
2582	1	3	69
2392	1	2	70
1600	0	2	71
1924	1	2	72
1523	1	2	73
822	0	2	74
2749	1	3	75
1990	0	3	76
1522	0	2	77
1595	1	1	78
1015	1	2	79
3148	1	3	80
2681	1	3	81
2222	0	3	82
864	0	2	83
2363	1	3	84
1769	1	1	85
2480	1	3	86
1142	1	2	87
1046	0	1	88
1043	0	1	89
2701	1	3	90
3189	1	3	91
1206	0	3	92
1703	0	3	93
2804	1	3	94
1934	0	2	95
1199	0	3	96
1257	1	2	97
2542	1	3	98
1998	1	1	99
1407	0	2	100
1366	0	1	101
2641	1	3	102
2250	0	2	103
2717	0	3	104
2081	0	2	105
2029	0	2	106
2372	1	3	107
1140	0	3	108
2441	0	3	109
1513	0	2	110
1316	1	1	111
1077	1	1	112
1240	0	2	113
1401	1	2	114
597	0	1	115
998	0	1	116
2098	1	2	117
1911	0	3	118
1863	1	2	119
980	0	1	120
2113	1	3	121
478	0	2	122
1167	0	3	123
1759	0	2	124
2690	1	3	125
3399	1	3	126
2964	1	3	127
2159	1	2	128
2559	1	3	129
1166	0	2	130
1425	0	3	131
2355	1	3	132
968	1	2	133
1492	0	2	134
3347	1	3	135
1336	1	2	136
979	0	2	137
1527	0	2	138
3833	1	3	139
3271	1	3	140
1788	0	3	141
1821	1	1	142
1728	0	2	143
1580	0	2	144
1217	1	1	145
1780	0	2	146
3312	1	3	147
1733	0	1	148
2371	0	3	149
860	0	1	150
901	0	2	151
994	1	1	152
2353	1	3	153
1550	0	3	154
2889	1	3	155
2835	1	3	156
1601	0	1	157
1497	1	1	158
1659	0	3	159
1182	0	1	160
3356	1	3	161
2419	1	3	162
878	0	2	163
2940	1	3	164
1050	1	2	165
1438	0	1	166
1577	0	2	167
1563	1	2	168
1509	1	2	169
1391	0	2	170
2134	0	3	171
2402	1	3	172
2690	0	3	173
2807	1	3	174
1713	0	2	175
1361	0	2	176
1504	0	2	177
1464	0	2	178
1357	1	1	179
1018	0	2	180
2241	1	3	181
961	0	2	182
2478	0	3	183
2632	1	3	184
1738	1	2	185
1924	0	3	186
2691	1	3	187
3288	1	3	188
869	0	1	189
1492	0	3	190
2849	1	3	191
1623	0	3	192
2896	1	3	193
1648	0	1	194
3308	1	3	195
1021	0	1	196
842	0	1	197
1880	1	2	198
1637	0	3	199
1351	0	3	200
1225	0	2	201
1107	0	1	202
1114	0	3	203
1475	1	2	204
2098	1	3	205
3394	1	3	206
3242	1	3	207
831	0	1	208
1029	0	1	209
2085	0	3	210
1144	0	2	211
658	0	1	212
2162	1	3	213
1322	0	3	214
1307	0	3	215
1448	0	2	216
2616	1	3	217
2620	1	3	218
1450	0	1	219
1939	1	2	220
2295	1	3	221
2536	1	3	222
1065	0	2	223
2998	1	3	224
1735	1	2	225
1005	1	2	226
1551	0	1	227
1400	0	3	228
1292	0	2	229
2217	0	3	230
2392	1	2	231
1265	0	3	232
2383	1	3	233
1565	0	3	234
2854	1	3	235
2648	1	3	236
2316	0	3	237
1370	0	2	238
1832	0	2	239
3011	1	3	240
1375	0	3	241
2541	1	3	242
2476	1	3	243
2874	1	3	244
2106	0	3	245
3090	1	3	246
1910	1	1	247
2306	1	2	248
610	0	3	249
1650	1	1	250
1740	0	3	251
3170	1	3	252
1886	1	3	253
1321	0	2	254
1586	1	2	255
1905	0	3	256
1700	1	2	257
1349	1	2	258
1036	0	2	259
1132	0	3	260
956	0	2	261
1012	0	1	262
2188	0	3	263
2482	1	3	264
2376	0	3	265
1872	0	3	266
1979	1	2	267
2037	1	3	268
1087	0	2	269
2120	1	2	270
788	0	3	271
2080	1	3	272
2323	1	3	273
1386	0	3	274
2661	1	3	275
2569	1	3	276
2901	1	3	277
3523	1	3	278
2369	1	2	279
3309	1	3	280
2676	1	3	281
1726	0	3	282
2613	0	2	283
878	1	1	284
2176	1	2	285
2804	1	3	286
1292	0	3	287
3603	1	3	288
2576	1	3	289
3192	1	3	290
1416	0	1	291
2464	1	3	292
1345	0	3	293
2836	1	3	294
1410	0	1	295
1169	1	2	296
2051	1	2	297
1126	0	3	298
1816	1	2	299
2131	0	3	300
