y1	x1	y2	x2	y3	x3	y4	x4
8,03999996185303	10	9,14000034332275	10	7,46000003814697	10	6,57999992370605	8
6,94999980926514	8	8,14000034332275	8	6,76999998092651	8	5,76000022888184	8
7,57999992370605	13	8,73999977111816	13	12,7399997711182	13	7,71000003814697	8
8,8100004196167	9	8,77000045776367	9	7,1100001335144	9	8,84000015258789	8
8,32999992370605	11	9,26000022888184	11	7,80999994277954	11	8,47000026702881	8
9,96000003814697	14	8,10000038146973	14	8,84000015258789	14	7,03999996185303	8
7,23999977111816	6	6,13000011444092	6	6,07999992370605	6	5,25	8
4,26000022888184	4	3,09999990463257	4	5,3899998664856	4	12,5	19
10,8400001525879	12	9,13000011444092	12	8,14999961853027	12	5,55999994277954	8
4,82000017166138	7	7,26000022888184	7	6,42000007629395	7	7,90999984741211	8
5,67999982833862	5	4,73999977111816	5	5,73000001907349	5	6,8899998664856	8
